iter	Logloss
0	0.6850352085
1	0.6746473805
2	0.6628882657
3	0.6523814865
4	0.6421280073
5	0.6333667301
6	0.6246654652
7	0.6163381373
8	0.6089021075
9	0.6013189983
10	0.5949088916
11	0.5877767087
12	0.5822497689
13	0.5772490561
14	0.5713528328
15	0.5663361539
16	0.5602475053
17	0.5562864593
18	0.5529094179
19	0.5489720609
20	0.5456419612
21	0.5409329423
22	0.5368171255
23	0.5334015719
24	0.5297937367
25	0.5259887392
26	0.5225143799
27	0.5188338778
28	0.5157926628
29	0.5124907808
30	0.5097798313
31	0.5068168484
32	0.5040935381
33	0.5016211922
34	0.4990288973
35	0.4963987772
36	0.4944670807
37	0.4921918253
38	0.4905252878
39	0.488484853
40	0.4865182409
41	0.4844520648
42	0.4825956806
43	0.4808745192
44	0.4789340721
45	0.477515184
46	0.4762941061
47	0.4747791177
48	0.4729063352
49	0.4712430614
50	0.4699820002
51	0.4683475072
52	0.4667830689
53	0.4656742809
54	0.464195248
55	0.462582797
56	0.4616905928
57	0.4604385415
58	0.4595977845
59	0.4583972189
60	0.457322351
61	0.456339292
62	0.4550600606
63	0.4539222586
64	0.4529097875
65	0.4517310884
66	0.4507403346
67	0.4499570188
68	0.4488382633
69	0.4478829953
70	0.4471253994
71	0.4462477599
72	0.4452195367
73	0.4443800013
74	0.4436076839
75	0.4429820275
76	0.4418700675
77	0.4407438473
78	0.4399881491
79	0.4391117982
80	0.4385398661
81	0.43758146
82	0.4368950529
83	0.4359556823
84	0.434885578
85	0.4341830111
86	0.4334104989
87	0.4327876198
88	0.4321508744
89	0.4311516542
90	0.4305048359
91	0.4295818319
92	0.4288388628
93	0.4283583413
94	0.4275857617
95	0.4269278951
96	0.4264311087
97	0.4255197135
98	0.4251610128
99	0.4246279029
100	0.4240450761
101	0.4233293226
102	0.4228826313
103	0.4222985918
104	0.4218403258
105	0.4212567466
106	0.4205942165
107	0.4200200357
108	0.4195998844
109	0.4190146458
110	0.4185834684
111	0.4179722029
112	0.417298896
113	0.4165037796
114	0.4158642983
