кол-во потоков,100,200,300,400,500,600,700,800,900,1000,
1,10008.300000,11367.800000,15763.200000,19126.300000,22951.700000,27187.700000,34230.500000,35445.800000,39028.500000,43288.400000,
2,42844.700000,10788.400000,14923.500000,36581.900000,24673.000000,26004.500000,28957.400000,31895.900000,44954.600000,45318.600000,
3,44075.600000,16261.500000,25972.200000,31390.200000,22993.000000,25554.900000,28627.800000,32420.300000,35396.900000,40044.500000,
4,39770.300000,18739.400000,23984.800000,29168.300000,37704.500000,40917.700000,30365.900000,41777.200000,35818.100000,40276.800000,
5,43366.100000,18409.700000,21824.700000,22906.500000,28346.400000,32534.100000,36726.900000,42207.400000,46995.200000,51913.400000,
6,60863.400000,13260.900000,17312.900000,29309.500000,27062.800000,31362.200000,36725.600000,41728.300000,45953.700000,52623.600000,
7,51152.300000,26581.100000,59193.000000,27709.900000,67398.200000,32930.700000,37414.800000,42862.600000,47270.400000,50599.600000,
8,399202.600000,13531.700000,17632.900000,22529.300000,27471.500000,31315.300000,36848.100000,41433.300000,46297.100000,51745.400000,
9,132212.300000,22713.300000,16919.700000,41965.300000,91535.100000,116948.300000,34399.600000,61240.200000,72872.000000,72250.700000,
10,51873.900000,18742.600000,36908.400000,69701.900000,46037.500000,54228.100000,54655.100000,130221.400000,103134.600000,49931.200000,
11,55553.500000,30511.200000,55533.200000,72469.200000,92514.900000,37252.800000,38415.800000,69562.100000,40171.300000,82443.100000,
12,41682.000000,23234.700000,37215.600000,49096.100000,30897.000000,111741.700000,124146.000000,129069.000000,43629.500000,45371.100000,
13,40628.700000,49493.000000,57600.600000,69951.700000,43240.900000,46986.800000,48175.700000,64811.000000,70415.900000,70642.200000,
14,48197.500000,38800.500000,48247.500000,33026.800000,39446.900000,49524.100000,126223.800000,60775.800000,46500.900000,160573.800000,
15,45795.000000,54930.600000,39584.000000,39329.200000,85813.400000,55342.800000,58861.900000,42241.600000,162468.100000,77802.300000,
16,50593.600000,27608.100000,52045.500000,23686.100000,46421.600000,111159.200000,58081.600000,102784.600000,65569.000000,83775.300000,
