1_thr,2_thr,3_thr,4_thr,5_thr,6_thr,7_thr,8_thr,
0.000016,0.000287,0.000678,0.000732,0.000393,0.001754,0.001161,0.006411,
0.000029,0.000012,0.000010,0.000009,0.000007,0.000012,0.000011,0.000007,
0.000041,0.000015,0.000014,0.000012,0.000010,0.000010,0.000007,0.000006,
0.000030,0.000021,0.000017,0.000013,0.000011,0.000011,0.000009,0.000008,
0.000061,0.000025,0.000020,0.000016,0.000014,0.000013,0.000010,0.000009,
0.000038,0.000028,0.000022,0.000020,0.000017,0.000018,0.000012,0.000011,
0.000041,0.000021,0.000027,0.000023,0.000017,0.000018,0.000014,0.000012,
0.000042,0.000036,0.000035,0.000058,0.000020,0.000018,0.000019,0.001125,
0.000060,0.000069,0.000085,0.000056,0.000048,0.000050,0.000059,0.000051,
0.000067,0.000072,0.000078,0.000062,0.000053,0.000059,0.000042,0.007341,
