кол-во потоков,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,
1,4640.211000,19705.893000,38183.307000,74508.035000,133118.351000,171621.833000,214272.775000,354084.050000,351724.484000,602947.417000,
2,4874.864000,15328.324000,35797.887000,64658.683000,93371.630000,135203.285000,187747.117000,247736.843000,312621.460000,398850.252000,
3,3200.767000,15310.501000,31868.809000,54985.237000,135619.808000,156459.407000,213814.444000,225004.932000,296549.847000,536004.048000,
4,3434.380000,16606.466000,38908.816000,85151.706000,97854.803000,120237.891000,189986.559000,267739.325000,368946.020000,396115.574000,
5,5681.454000,16195.273000,31072.989000,54162.223000,86550.358000,117311.977000,173866.087000,220181.383000,265017.958000,552341.547000,
6,22476.936000,22211.491000,35418.969000,53399.748000,86144.012000,117653.518000,162967.478000,206282.261000,260841.666000,299354.657000,
7,2541.034000,13555.496000,32092.561000,52806.285000,78923.585000,113272.895000,155516.001000,191623.803000,251340.203000,306029.347000,
8,13144.966000,13334.519000,32120.444000,53738.861000,81718.343000,116946.193000,161642.889000,205862.849000,262654.458000,317352.435000,
