кол-во потоков,10000,20000,30000,40000,50000,60000,70000,80000,90000,100000,
1,381.634000,712.193000,1153.930000,1540.222000,1561.280000,1247.377000,1428.321000,1636.076000,1840.251000,2042.198000,
2,479.354000,385.427000,571.533000,770.605000,947.772000,1128.407000,984.573000,1078.523000,1210.669000,1343.386000,
3,474.379000,264.155000,470.563000,527.895000,613.911000,826.176000,1077.029000,1185.381000,1027.696000,1179.025000,
4,540.638000,292.049000,436.595000,512.708000,719.889000,794.896000,1004.638000,1111.356000,1144.222000,1310.294000,
5,784.043000,413.375000,424.192000,658.897000,893.565000,1046.295000,1123.936000,1312.097000,1429.138000,1435.567000,
6,435.308000,364.954000,441.517000,666.244000,803.605000,853.062000,1018.245000,1157.912000,1306.719000,2886.055000,
7,975.688000,276.831000,429.500000,574.538000,751.072000,806.883000,987.314000,1081.147000,1213.824000,2884.301000,
8,4487.185000,246.537000,368.036000,938.454000,4574.609000,3335.233000,943.609000,2087.077000,1101.194000,1258.652000,
