кол-во потоков,0,1,2,3,4,
1,1624989.606000,1167946.111000,964400.191000,1444344.671000,1291478.912000,
2,985401.778000,894850.290000,924176.631000,936537.660000,924521.442000,
3,758404.783000,711412.921000,824619.521000,881953.214000,676428.144000,
4,700238.810000,637067.727000,706937.423000,709858.471000,663342.391000,
5,796772.277000,898136.739000,797950.750000,779689.361000,677549.880000,
6,799179.403000,681266.400000,1125275.063000,801032.730000,673941.999000,
7,723297.480000,653674.815000,759830.054000,1260715.893000,641872.378000,
8,699406.679000,979462.093000,747559.403000,712420.724000,895892.255000,
