1_thr,2_thr,3_thr,4_thr,5_thr,6_thr,7_thr,8_thr,
0.044529,0.030810,0.030514,0.030378,0.031334,0.030968,0.030763,0.030589,
0.136177,0.031874,0.032313,0.030748,0.031130,0.058310,0.031279,0.031012,
0.129499,0.030762,0.030072,0.034314,0.032262,0.031586,0.030525,0.030845,
0.044560,0.030517,0.030382,0.030425,0.029962,0.030783,0.033312,0.030762,
0.028964,0.030208,0.030712,0.034089,0.031355,0.030625,0.029849,0.030548,
0.030665,0.031723,0.030719,0.031239,0.030898,0.032240,0.031145,0.031145,
0.030232,0.030392,0.030507,0.043233,0.031472,0.030952,0.033767,0.030594,
0.030011,0.030521,0.030034,0.031234,0.030748,0.030422,0.031324,0.031026,
0.032063,0.030075,0.031085,0.038167,0.031513,0.030521,0.030803,0.031017,
0.030617,0.031247,0.031306,0.031068,0.030532,0.030517,0.032414,0.030210,
