кол-во потоков,10000000,20000000,30000000,4000000,50000000,60000000,70000000,80000000,90000000,100000000,
1,146275.166000,291055.122000,429787.995000,572849.863000,718992.729000,866298.195000,1013716.597000,1147521.842000,1291746.055000,1434632.760000,
2,468763.892000,943007.303000,1416326.774000,1890281.343000,2347179.067000,2796341.863000,3321495.579000,3825435.921000,4263011.910000,4808044.406000,
3,568866.133000,1137605.830000,1703211.848000,2267894.727000,2835555.696000,3402267.118000,3955970.613000,4541888.910000,5101672.178000,5653658.116000,
4,591140.466000,1176414.263000,1762661.342000,2330244.643000,2951999.948000,3533801.662000,4171418.357000,4700502.286000,5310875.878000,5893781.794000,
5,489013.683000,973223.850000,1568189.293000,2288926.302000,2441215.715000,3392470.138000,3916199.225000,4634860.013000,4415359.677000,5740033.289000,
6,422575.452000,866431.234000,1423913.551000,1998377.946000,2319166.438000,2707252.332000,3302038.132000,3974721.427000,4454528.341000,4249510.114000,
7,391358.332000,922257.129000,1492423.852000,1992029.137000,2523096.041000,2980597.584000,3534115.125000,3942932.927000,4528711.446000,5057350.505000,
8,421588.633000,873952.999000,1336932.801000,1803509.013000,2261022.808000,2706414.164000,3180271.889000,3379239.209000,4062214.134000,4528815.096000,
9,413921.515000,884044.258000,1357718.382000,1743116.365000,2146157.705000,2627001.584000,3093326.735000,3413956.231000,3846304.998000,4191688.832000,
10,429734.762000,807425.824000,1309136.550000,1758339.085000,2195221.437000,2602750.105000,3054657.549000,3379779.960000,3937021.415000,4396717.929000,
11,409826.992000,863749.294000,1269934.702000,1755004.969000,2204607.504000,2582534.512000,2982564.033000,3406596.121000,3974406.498000,4176386.366000,
12,405233.668000,832570.266000,1238208.149000,1770891.003000,2132543.009000,2613170.390000,3114252.588000,3413833.355000,3984402.254000,4257104.669000,
