кол-во потоков,10000000,20000000,30000000,40000000,50000000,60000000,70000000,80000000,90000000,100000000,
1,74058.890000,156168.054000,227115.466000,299452.128000,379099.362000,578889.376000,583846.348000,610737.818000,1424787.663000,746158.831000,
2,94940.944000,110839.062000,171469.836000,216822.587000,269892.125000,359474.217000,386668.338000,483865.600000,491953.189000,576751.864000,
3,50739.413000,101068.045000,145067.127000,211982.614000,238017.748000,285186.926000,372626.202000,407991.001000,480372.818000,494569.377000,
4,64339.643000,88563.009000,132042.679000,228931.191000,225592.230000,268787.993000,359768.610000,374944.708000,425285.401000,479879.492000,
5,54059.093000,100770.731000,159988.360000,196260.111000,259557.193000,315421.644000,367056.681000,423544.026000,463313.325000,525169.779000,
6,50937.042000,97563.433000,147581.654000,196091.453000,243194.815000,295120.760000,365992.703000,408185.235000,457711.826000,513994.053000,
7,57651.556000,93044.945000,140102.323000,187043.982000,232943.081000,284845.670000,336950.556000,387184.336000,437465.437000,487572.635000,
8,48207.712000,91847.109000,136614.515000,240343.331000,230793.528000,278901.686000,334615.444000,366250.223000,412797.872000,471148.816000,
9,49733.191000,92774.201000,134894.443000,195730.335000,275976.052000,276925.862000,325175.404000,378590.804000,428196.133000,471339.449000,
10,50140.406000,99472.556000,143863.070000,182085.344000,241809.946000,283520.150000,342214.791000,398967.613000,437948.550000,486787.334000,
11,51541.834000,110563.236000,272400.883000,184455.665000,238551.980000,284333.229000,326262.070000,374411.471000,419248.281000,584703.944000,
12,49648.439000,90632.651000,137779.378000,182448.501000,235048.683000,272627.482000,331865.024000,369099.712000,412964.448000,499980.991000,
13,49106.492000,98294.231000,136847.079000,193126.908000,227967.793000,283221.560000,316476.699000,360147.661000,412676.583000,460693.539000,
14,47623.858000,94127.853000,137949.454000,180857.826000,228029.834000,272568.177000,320902.561000,365012.459000,420521.464000,468375.945000,
15,48754.541000,92106.898000,136461.428000,179774.435000,225333.467000,267525.095000,320519.354000,375129.741000,423349.933000,480162.648000,
16,49282.301000,108593.095000,136859.981000,183499.063000,257340.791000,274982.204000,336998.180000,392178.094000,425057.510000,471761.027000,
