кол-во потоков,10000000,20000000,30000000,4000000,50000000,60000000,70000000,80000000,90000000,100000000,
1,277926.947000,518481.382000,771413.906000,1027394.892000,1286941.133000,1548024.627000,1808977.432000,2056701.356000,2313632.057000,2572278.904000,
2,525765.081000,1019044.509000,1685932.529000,2020747.612000,2731164.661000,3027134.611000,3817565.544000,4412818.335000,5106370.478000,5703060.613000,
3,737150.458000,1482071.071000,2299999.686000,2952601.519000,3752624.715000,4510044.196000,5184409.306000,6062721.523000,6742487.822000,7528441.664000,
4,1013663.519000,2098120.376000,3413751.434000,4257238.568000,5367188.549000,6426597.753000,7629263.045000,8242405.361000,9331472.514000,10285608.607000,
5,1142195.108000,2244229.785000,3350419.341000,4424222.299000,5481841.417000,7373251.837000,7305305.523000,9612601.940000,10713564.439000,10463022.570000,
6,1223738.532000,2096176.984000,3984349.459000,5300027.632000,5809774.672000,7440019.963000,9074778.689000,9417985.676000,11093200.200000,12343089.300000,
7,1229365.395000,2460804.851000,4215278.113000,5204825.646000,6316272.077000,7637188.114000,10005217.869000,10384859.714000,11541733.081000,13048528.581000,
8,1327834.650000,2606959.162000,4220470.678000,5423317.231000,7034967.847000,8415046.223000,9920387.760000,11479270.628000,12818570.718000,14162288.103000,
9,1413724.444000,2857980.805000,4509614.802000,6189235.859000,7499672.685000,8765063.741000,10194016.936000,12066198.560000,13989211.296000,15049327.987000,
10,1508592.879000,2999272.320000,4502778.324000,6119003.336000,7480957.110000,9211886.603000,10684775.613000,12209494.835000,13812886.920000,15373634.100000,
11,1543611.037000,3022893.499000,4563905.268000,6115041.855000,7675692.873000,9276449.166000,10811812.624000,12493634.650000,13893880.283000,15594350.824000,
12,1472134.293000,3074749.138000,4545142.071000,6245467.198000,7626027.969000,9197706.681000,10781989.757000,12361563.354000,13931520.678000,15607143.578000,
