кол-во потоков,100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,
1,16201495.700000,22052819.300000,36293802.000000,36453362.900000,36525729.700000,49838413.300000,42737593.200000,45090305.600000,50205425.600000,52673949.500000,
2,4624036.100000,7884549.800000,12057795.100000,15940808.400000,19980298.500000,24063028.700000,28090171.100000,31959330.000000,36119813.700000,40595341.900000,
3,3999776.800000,7770015.200000,15806892.100000,15770401.300000,19940136.800000,23911444.300000,27894032.900000,31455307.000000,37493919.500000,39278993.700000,
4,3693303.000000,7549903.800000,12403495.600000,15794402.000000,19926769.100000,23954379.100000,27770953.200000,31874614.700000,36192467.100000,39710960.700000,
5,4031425.300000,7385012.800000,11965141.600000,16185584.700000,20607635.800000,24263043.500000,28156411.400000,32979802.200000,47952718.400000,54059609.600000,
6,6241447.200000,13353585.900000,19232540.000000,21784586.100000,21922833.800000,24714624.200000,28042035.600000,31997206.000000,40517938.500000,41400198.500000,
7,6127882.100000,8679238.000000,12305986.900000,16398505.300000,20282655.600000,24258653.200000,30108583.900000,40785845.400000,43443206.800000,42294928.800000,
8,6146677.300000,10174095.400000,13763371.200000,17300044.900000,21850322.700000,33464502.300000,33035637.200000,43487456.500000,38921402.400000,40429285.300000,
9,5646622.700000,7808572.600000,21361234.100000,15476941.000000,22777348.800000,27610640.900000,29115227.500000,34307831.900000,37915429.400000,41811024.600000,
10,3740081.600000,10366577.500000,13165187.100000,17748610.800000,22669414.700000,28089265.700000,29790028.500000,33478130.000000,37037009.100000,42007060.300000,
11,3676202.500000,8393170.700000,11443460.600000,15417393.000000,22186733.000000,26594439.900000,32151219.400000,35149924.300000,37680545.500000,41664231.800000,
12,3694660.800000,11339944.200000,13917050.100000,17898319.300000,22793025.300000,29214870.600000,29255529.400000,34250140.400000,38449898.200000,43509813.400000,
