кол-во потоков,1,2,3,4,5,
1,716023.691000,516653.777000,505035.497000,865221.788000,532560.417000,
2,462508.639000,378520.848000,400304.716000,460223.080000,468479.835000,
3,452551.116000,355975.184000,405412.457000,458383.883000,350086.767000,
4,478359.177000,425294.929000,372315.359000,371013.257000,336629.964000,
5,427601.069000,382649.649000,407311.667000,935193.175000,387364.609000,
6,429221.141000,360305.421000,406005.590000,425768.548000,342426.602000,
7,424854.894000,426821.049000,379300.983000,379124.439000,331889.622000,
8,392578.700000,335439.153000,385038.468000,369563.439000,320542.832000,
